Timestamp,ID_REC,ID_SERIES,CALNAME,APPLICATIONNAME,CPFNAME,Property_1_Name,Property_1_Value,Property_1_U,Property_1_H,Property_1_S,Property_1_Flags,Property_2_Name,Property_2_Value,Property_2_U,Property_2_H,Property_2_S,Property_2_Flags,NumSpec,NumSpecOK,NumSpecOK%,Reference Remaining Time,"Number of ""Intensity Too High"" spectra"
10/11/2022 17:44,ILMC tier 5 and 6_45_109_7018341,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,18.5479,0.746,1.5765,2.6,,SoyProtein,48.2551,1.42,1.8792,3.0745,,130,27,20.769,0:49:17,0
10/11/2022 17:44,ILMC tier 5 and 6_44_109_7018544,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,18.9068,0.743,1.1228,3.4101,,SoyProtein,46.985,1.41,1.4392,3.4035,,130,28,21.538,0:48:48,0
10/11/2022 17:44,ILMC tier 5 and 6_43_109_7018527,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,18.4088,0.742,0.98152,2.977,,SoyProtein,46.3108,1.41,1.087,3.1486,,130,30,23.077,0:48:21,0
10/11/2022 17:45,ILMC tier 5 and 6_42_109_7018522,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,20.0637,0.745,1.3821,2.8492,,SoyProtein,45.6023,1.41,1.398,3.8615,,130,26,20,0:47:53,0
10/11/2022 17:45,ILMC tier 5 and 6_41_109_7018546,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,18.6064,0.745,1.5244,2.5933,,SoyProtein,45.9822,1.41,1.013,3.9659,,130,30,23.077,0:47:25,0
10/11/2022 17:46,ILMC tier 5 and 6_40_109_7117536,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,18.5747,0.75,2.4583,3.38,,SoyProtein,46.3723,1.41,1.5366,4.8814,,129,27,20.93,0:46:58,0
10/11/2022 17:46,ILMC tier 5 and 6_39_109_7117556,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,21.1919,0.764,4.9834,6.0908,,SoyProtein,43.5104,1.43,3.6002,8.0657,,130,33,25.385,0:46:32,0
10/11/2022 17:47,ILMC tier 5 and 6_38_109_7117545,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,22.2443,0.75,2.3549,6.2999,,SoyProtein,41.14,1.43,3.2375,4.5144,,130,28,21.538,0:46:06,0
10/11/2022 17:47,ILMC tier 5 and 6_37_109_7117542,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,21.6942,0.756,3.4903,2.678,,SoyProtein,42.7564,1.42,2.1369,4.7473,,129,37,28.682,0:45:37,0
10/11/2022 17:48,ILMC tier 5 and 6_36_109_7116495,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,21.1264,0.742,0.87212,3.1548,,SoyProtein,41.5539,1.41,1.0902,3.1793,,130,38,29.231,0:45:08,0
